Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 08/13  22:00:00,1.57522350916395,0.000000000000000E+000,0.000000000000000E+000,0.441340515627916,0.141833624951618,0.583174140579534,0.141833624951618,0.354193420564790,7.264856920465887E-002,8.254796269208844E-002,0.432323683577848,3.526072048503465E-002 
 08/13  23:00:00,1.30398866411946,0.000000000000000E+000,0.000000000000000E+000,0.385192279474055,0.123787689122923,0.508979968596977,0.123787689122923,0.246134459365500,5.048459408414295E-002,7.237240795950005E-002,0.375681236640641,3.526098541270104E-002 
 08/13  24:00:00,1.00940434707196,0.000000000000000E+000,0.000000000000000E+000,0.325730918880638,0.104676780986606,0.430407699867243,0.104676780986606,0.126068843480724,2.585796415425477E-002,6.598822424871077E-002,0.310745605671627,3.526099758939633E-002 
 08/14  01:00:00,0.867387355909479,0.000000000000000E+000,0.000000000000000E+000,0.284370409634407,9.138496130245723E-002,0.375755370936865,9.138496130245723E-002,7.504097667905331E-002,1.539165052586057E-002,6.474882801335874E-002,0.286114849097177,3.526066859716676E-002 
 08/14  02:00:00,0.791111688721933,0.000000000000000E+000,0.000000000000000E+000,0.255275399698505,8.203475472677600E-002,0.337310154425280,8.203475472677600E-002,5.102787345145721E-002,1.046631908413857E-002,5.917381638629718E-002,0.282797575484454,3.526093783030437E-002 
 08/14  03:00:00,0.756996704592351,0.000000000000000E+000,0.000000000000000E+000,0.233702026318647,7.510293182998101E-002,0.308804958148627,7.510293182998101E-002,5.102787345145721E-002,1.046631908413857E-002,5.754530737938157E-002,0.278816847149188,3.526038731955757E-002 
 08/14  04:00:00,0.728414646882710,0.000000000000000E+000,0.000000000000000E+000,0.217370977311442,6.985608848850719E-002,0.287227065799949,6.985608848850719E-002,5.102787345145721E-002,1.046631908413857E-002,6.107387405969933E-002,0.268284503428801,3.525999899866552E-002 
 08/14  05:00:00,0.765342625964086,0.000000000000000E+000,0.000000000000000E+000,0.215761263414539,6.933892363839286E-002,0.285100187052931,6.933892363839286E-002,5.402951384857650E-002,1.108198483238577E-002,6.541161282374507E-002,0.299383943548060,3.526037179838737E-002 
 08/14  06:00:00,0.904422135390257,0.000000000000000E+000,0.000000000000000E+000,0.240983223035721,7.744702753415802E-002,0.318430250569880,7.744702753415802E-002,8.704756486667618E-002,1.785430533523284E-002,8.484587746206017E-002,0.345908705966468,3.526041912993996E-002 
 08/14  07:00:00,1.11573264972444,0.000000000000000E+000,0.000000000000000E+000,0.284296394642856,8.962515365884584E-002,0.373921548301702,8.962515365884584E-002,0.153083600405012,3.139895452454353E-002,0.109439341159945,0.367553916289473,3.526025298376565E-002 
 08/14  08:00:00,1.03404872140795,0.000000000000000E+000,0.000000000000000E+000,0.315750030853056,9.752413346150879E-002,0.413274164314564,9.752413346150879E-002,0.120065615884776,2.462662992988818E-002,0.115002064575211,0.310745605671627,3.525962897188727E-002 
 08/14  09:00:00,0.946194041473755,0.000000000000000E+000,0.000000000000000E+000,0.338334563679082,0.102267891386713,0.440602455065793,0.102267891386713,6.003279464281535E-002,1.231331632888018E-002,0.118440913983317,0.264469638774171,3.525991061877593E-002 
