Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 12/05  10:00:00,1.08876000942092,8.21405827035878,0.000000000000000E+000,7.05370351443807,0.000000000000000E+000,0.194211627611768,0.194211627611768,0.194211627611768,0.160219766039990,3.490778661770695E-002,0.330033759705594,0.352275055756258,1.13609085546125 
 12/05  11:00:00,1.10716049753378,9.14320729516779,0.000000000000000E+000,8.11451771357962,0.000000000000000E+000,0.223419327054657,0.223419327054657,0.223419327054657,0.132355408019962,2.883687116522848E-002,0.344876895795482,0.360559981808849,1.00385503436343 
 12/05  12:00:00,1.09123182372710,7.85109040432660,0.000000000000000E+000,6.94203652510814,0.000000000000000E+000,0.191137068594100,0.191137068594100,0.191137068594100,0.132355408019962,2.883687116522848E-002,0.361120014768658,0.360670447489552,0.884211723370196 
 12/05  13:00:00,1.06522993048042,7.37136767413948,0.000000000000000E+000,6.55514039188581,0.000000000000000E+000,0.180484547178080,0.180484547178080,0.180484547178080,0.132355408019962,2.883687116522848E-002,0.351846255376571,0.354594835050983,0.791803600699952 
 12/05  14:00:00,1.03989675081700,7.18662188936283,0.000000000000000E+000,6.42451114685225,0.000000000000000E+000,0.176887894974066,0.176887894974066,0.176887894974066,0.132355408019962,2.883687116522848E-002,0.317848037359318,0.366856525608822,0.736842503744248 
 12/05  15:00:00,1.05058333047800,7.07066671874454,0.000000000000000E+000,6.36158671692411,0.000000000000000E+000,0.175155378725280,0.175155378725280,0.175155378725280,0.146287587029976,3.187233799785000E-002,0.292642405135342,0.387513607899952,0.682388950452668 
 12/05  16:00:00,1.14753617146351,6.98168588597427,0.000000000000000E+000,6.26425422926154,0.000000000000000E+000,0.172475495624188,0.172475495624188,0.172475495624188,0.202016219477126,4.401416890280695E-002,0.302863858133087,0.409054415636696,0.689256923755253 
 12/05  17:00:00,1.46658606764810,6.99055580358925,0.000000000000000E+000,6.20178347091875,0.000000000000000E+000,0.170755470444358,0.170755470444358,0.170755470444358,0.362235901924209,7.892197373327849E-002,0.353721026385214,0.483839681471435,0.755446561578474 
 12/05  18:00:00,2.02489249402581,8.30564172188653,0.000000000000000E+000,7.36911682014830,0.000000000000000E+000,0.202895991981068,0.202895991981068,0.202895991981068,0.633912849265593,0.138113458586428,0.445070293491817,0.587787887011303,0.896039415897926 
 12/05  19:00:00,2.26622615152266,7.04696360590685,0.000000000000000E+000,5.97869967196352,0.000000000000000E+000,0.164613240678075,0.164613240678075,0.164613240678075,0.835928985149814,0.182127627489235,0.398284023104866,0.638160237411070,1.02430891577015 
 12/05  20:00:00,2.10087054969246,6.88427653814410,0.000000000000000E+000,5.79368940427815,0.000000000000000E+000,0.159519300290800,0.159519300290800,0.159519300290800,0.780200436295569,0.169985796584278,0.315346148810717,0.658706854021501,1.04521691171489 
 12/05  21:00:00,2.00126072911729,6.88488213255558,0.000000000000000E+000,5.86828059987614,0.000000000000000E+000,0.161573040921227,0.161573040921227,0.161573040921227,0.710539708431312,0.154808498846700,0.275875148663200,0.681352318565255,0.969671542703308 
 12/05  22:00:00,1.83669415022043,6.95784233691130,0.000000000000000E+000,6.03586326413678,0.000000000000000E+000,0.166187142140389,0.166187142140389,0.166187142140389,0.599082443537010,0.130524800611257,0.258342489697899,0.665445260544277,0.876144724587699 
 12/05  23:00:00,1.51650187098790,7.11024020332261,0.000000000000000E+000,6.34460062604433,0.000000000000000E+000,0.174687695847800,0.174687695847800,0.174687695847800,0.445828808798481,9.713473830347846E-002,0.205881020852975,0.575857593495570,0.725975822779958 
 12/05  24:00:00,1.21826345591083,7.24613172242549,0.000000000000000E+000,6.64830773740866,0.000000000000000E+000,0.183049750234492,0.183049750234492,0.183049750234492,0.313473400778520,6.829786713824999E-002,0.135920890493347,0.500409533576620,0.563356920394262 
