Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.967265327548712,4.22607914304839,0.000000000000000E+000,4.19811174230001,0.000000000000000E+000,0.105639947957679,0.105639947957679,0.105639947957679,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803596082004 
 01/01  02:00:00,0.787290643991564,4.53503674855761,0.000000000000000E+000,4.50928613938175,0.000000000000000E+000,0.113325040056456,0.113325040056456,0.113325040056456,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448868083261E-002 
 01/01  03:00:00,0.725275423142827,4.69496281465075,0.000000000000000E+000,4.66951076326243,0.000000000000000E+000,0.117346243203389,0.117346243203389,0.117346243203389,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067937947E-002 
 01/01  04:00:00,0.722115637043733,4.92101548581427,0.000000000000000E+000,4.89592170377103,0.000000000000000E+000,0.123072425465185,0.123072425465185,0.123072425465185,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024400E-002 
 01/01  05:00:00,0.770855685950800,4.98190582671600,0.000000000000000E+000,4.95775996564822,0.000000000000000E+000,0.124698128624370,0.124698128624370,0.124698128624370,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.03540614812654,4.91771620170312,0.000000000000000E+000,4.89077136137710,0.000000000000000E+000,0.122859154089788,0.122859154089788,0.122859154089788,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.64456597568384,4.52619653506778,0.000000000000000E+000,4.49506442177141,0.000000000000000E+000,0.112771824276163,0.112771824276163,0.112771824276163,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.08162933133480,4.75738310653952,0.000000000000000E+000,4.72430290367941,0.000000000000000E+000,0.118292053308194,0.118292053308194,0.118292053308194,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.01282435291838,4.20264858598387,0.000000000000000E+000,4.17468118523550,0.000000000000000E+000,0.104710594217146,0.104710594217146,0.104710594217146,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.76372971229512,3.99711401056809,0.000000000000000E+000,3.97331149095598,0.000000000000000E+000,9.962315621540122E-002,9.962315621540122E-002,9.962315621540122E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
