Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 11/13  22:00:00,1.72637078293067,6.35120157164486,0.000000000000000E+000,5.48544050033325,0.000000000000000E+000,0.151032195435578,0.151032195435578,0.151032195435578,0.602495876296315,0.131268500639717,0.263298834297921,0.561163362571536,0.827109421844964 
 11/13  23:00:00,1.42083327557087,6.63844618214511,0.000000000000000E+000,5.91794555398010,0.000000000000000E+000,0.162940480246123,0.162940480246123,0.162940480246123,0.447013069510170,9.739275853914450E-002,0.210759978638061,0.485614974947777,0.687052578917065 
 11/13  24:00:00,1.13457299965453,6.96408781371479,0.000000000000000E+000,6.39961685397308,0.000000000000000E+000,0.176202473318844,0.176202473318844,0.176202473318844,0.310965613572292,6.775148420114399E-002,0.140551037640066,0.421990377232579,0.535405227324072 
 11/14  01:00:00,0.845594911044015,7.34685178041053,0.000000000000000E+000,6.94764200609571,0.000000000000000E+000,0.191291405898456,0.191291405898456,0.191291405898456,0.161961257068902,3.528723135476250E-002,9.089268438097377E-002,0.349050318651320,0.375167986374657 
 11/14  02:00:00,0.737905583467303,7.74766644922953,0.000000000000000E+000,7.42371594579037,0.000000000000000E+000,0.204399285256072,0.204399285256072,0.204399285256072,9.717675424134119E-002,2.117233881285750E-002,7.666179158831476E-002,0.321383399879117,0.301814349611145 
 11/14  03:00:00,0.693256246484567,8.12999337646555,0.000000000000000E+000,7.82650561477904,0.000000000000000E+000,0.215489407918497,0.215489407918497,0.215489407918497,6.478450282756079E-002,1.411489072062854E-002,6.409821579558966E-002,0.317657215532691,0.281608258917377 
 11/14  04:00:00,0.689624784451122,8.42849397044750,0.000000000000000E+000,8.11982725703916,0.000000000000000E+000,0.223565516226777,0.223565516226777,0.223565516226777,6.478450282756079E-002,1.411489072062854E-002,5.686206666957333E-002,0.313185794316982,0.287095191909856 
 11/14  05:00:00,0.694801979714111,8.72538547010749,0.000000000000000E+000,8.35927719935663,0.000000000000000E+000,0.230158359678990,0.230158359678990,0.230158359678990,6.478450282756079E-002,1.411489072062854E-002,6.727705378024802E-002,0.301355159017084,0.345351616364305 
 11/14  06:00:00,0.754660110354714,9.13809115154579,0.000000000000000E+000,8.51415950981346,0.000000000000000E+000,0.234422778440074,0.234422778440074,0.234422778440074,7.126295311031687E-002,1.552637997481904E-002,8.004784787508873E-002,0.336288137264814,0.600768883668820 
 11/14  07:00:00,0.916144691981362,9.34269173490846,0.000000000000000E+000,8.23811022803694,0.000000000000000E+000,0.226822234951799,0.226822234951799,0.226822234951799,0.123090555372366,2.681829582961950E-002,0.133753719414558,0.388547872723419,1.07781921770731 
 11/14  08:00:00,1.16156861958599,8.98604578523318,0.000000000000000E+000,7.74804371781127,0.000000000000000E+000,0.213329094164959,0.213329094164959,0.213329094164959,0.239702660461975,5.222510240504850E-002,0.211338511280563,0.412861225583838,1.20956513009850 
 11/14  09:00:00,1.12809788368019,8.65374640541036,0.000000000000000E+000,7.45404032558768,0.000000000000000E+000,0.205234215040787,0.205234215040787,0.205234215040787,0.233224210179219,5.081361315085800E-002,0.272663512968407,0.349050318651320,1.17566429188252 
 11/14  10:00:00,0.986796522074136,7.65717018499627,0.000000000000000E+000,6.56581008563239,0.000000000000000E+000,0.180778318894513,0.180778318894513,0.180778318894513,0.129569005655122,2.822978508381000E-002,0.334037351732395,0.297070047018697,1.07089859369504 
 11/14  11:00:00,0.978036800850648,7.28493461672042,0.000000000000000E+000,6.31707628226643,0.000000000000000E+000,0.173929860252199,0.173929860252199,0.173929860252199,0.110133654806853,2.399531732123850E-002,0.348809312112515,0.304056642668242,0.946915608049764 
 11/14  12:00:00,0.934572379400767,5.00586725707757,0.000000000000000E+000,4.14942583750351,0.000000000000000E+000,0.114247323254567,0.114247323254567,0.114247323254567,0.110133654806853,2.399531732123850E-002,0.364934273051607,0.304149797276904,0.835492276893364 
