Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 05/10  16:00:00,0.845706826018986,1.64834556109369,0.000000000000000E+000,0.952410435639553,2.550123936353053E-002,2.550123936353053E-002,2.550123936353053E-002,4.662361982750796E-002,9.659889561745467E-003,0.354668780903828,0.393905284083975,0.668801429655755 
 05/10  17:00:00,1.02309889875540,1.56999119150840,0.000000000000000E+000,0.743172710652918,1.989880042639136E-002,1.989880042639136E-002,1.989880042639136E-002,5.827952822383222E-002,1.207486052695269E-002,0.438965730037081,0.478531967262748,0.793855376895855 
 05/10  18:00:00,1.11060806126382,1.88325733586502,0.000000000000000E+000,0.938224624692360,2.512140757358670E-002,2.512140757358670E-002,2.512140757358670E-002,0.101989172671983,2.113100307170893E-002,0.397477157158294,0.519541284509845,0.909244729294296 
 05/10  19:00:00,1.14853656907987,2.02442906229097,0.000000000000000E+000,1.05950659474053,2.836878961912465E-002,2.836878961912465E-002,2.836878961912465E-002,0.203978345343966,4.226202039570926E-002,0.322310632266247,0.536268769176425,0.927982232836798 
 05/10  20:00:00,1.32345214129432,2.19520060467977,0.000000000000000E+000,1.29747673221732,3.474055247480252E-002,3.474055247480252E-002,3.474055247480252E-002,0.358419088602172,7.426039566130900E-002,0.285979116882669,0.554704975394967,0.859513681666920 
 05/10  21:00:00,1.43554458346000,2.39619394183000,0.000000000000000E+000,1.58273798575015,4.237855730472289E-002,4.237855730472289E-002,4.237855730472289E-002,0.469150166775544,9.720263693352733E-002,0.269710545482451,0.541754664685357,0.776137831995502 
 05/10  22:00:00,1.20033741482872,2.72932798004362,0.000000000000000E+000,2.05389344400012,5.499396728833780E-002,5.499396728833780E-002,5.499396728833780E-002,0.367161062892504,7.607163386181841E-002,0.217943504277125,0.468819234230540,0.643140482117255 
 05/10  23:00:00,0.949648863694833,3.12556355573187,0.000000000000000E+000,2.59815668320522,6.956687264549054E-002,6.956687264549054E-002,6.956687264549054E-002,0.256429915930189,5.312939258960007E-002,0.147779479178003,0.407395191073153,0.499343940570794 
 05/10  24:00:00,0.695861702524761,3.61778924802336,0.000000000000000E+000,3.24770994114812,8.695896799673457E-002,8.695896799673457E-002,8.695896799673457E-002,0.131128926465557,2.716844473701840E-002,9.827947445740333E-002,0.336977876589647,0.346866987661415 
 05/11  01:00:00,0.606517419047072,4.11021406820687,0.000000000000000E+000,3.81147419353564,0.102054022194751,0.102054022194751,0.102054022194751,7.867735587933436E-002,1.630105829083620E-002,8.386910965267348E-002,0.310267860751076,0.277367443049232 
 05/11  02:00:00,0.571786142511345,4.56954777818513,0.000000000000000E+000,4.28991532575015,0.114864509540754,0.114864509540754,0.114864509540754,5.245157058622290E-002,1.086737504434908E-002,7.158412284098968E-002,0.306670552220629,0.258507817121621 
 05/11  03:00:00,0.566860572852990,4.83104802918447,0.000000000000000E+000,4.54623825704197,0.121727677121279,0.121727677121279,0.121727677121279,5.245157058622290E-002,1.086737504434908E-002,6.411215583864807E-002,0.302353781984093,0.263982492399531 
 05/11  04:00:00,0.574727422015128,5.23845385595332,0.000000000000000E+000,4.89910759105391,0.131175920246255,0.131175920246255,0.131175920246255,5.245157058622290E-002,1.086737504434908E-002,7.395221645997889E-002,0.290932327399923,0.319305738436464 
 05/11  05:00:00,0.628634562482398,5.64539422138021,0.000000000000000E+000,5.06151518097604,0.135524460192983,0.135524460192983,0.135524460192983,5.536555284447490E-002,1.147111778565089E-002,8.626832450802412E-002,0.324657094872865,0.561515423547491 
 05/11  06:00:00,0.765116966660606,6.31422436130584,0.000000000000000E+000,5.27472553010769,0.141233268018399,0.141233268018399,0.141233268018399,7.867735587933436E-002,1.630105829083620E-002,0.138447925181248,0.375109347012388,1.01365987111255 
 05/11  07:00:00,0.921005115068500,5.63266225818401,0.000000000000000E+000,4.46704431463848,0.119607221899662,0.119607221899662,0.119607221899662,0.131128926465557,2.716844473701840E-002,0.214170712514307,0.398581785173556,1.13816211254589 
 05/11  08:00:00,0.853397348415774,5.09690334414539,0.000000000000000E+000,3.96820562574071,0.106250580337005,0.106250580337005,0.106250580337005,9.907520417151992E-002,2.052726175563627E-002,0.275218413283566,0.336977876589647,1.10548539919085 
 05/11  09:00:00,0.792457512249194,4.40787692593097,0.000000000000000E+000,3.38213582805197,9.055828462569224E-002,9.055828462569224E-002,9.055828462569224E-002,5.245157058622290E-002,1.086737504434908E-002,0.336436847124624,0.286795422589907,1.00598553717099 
 05/11  10:00:00,0.805324716989947,4.34541265679248,0.000000000000000E+000,3.43706443445604,9.202902401219863E-002,9.202902401219863E-002,9.202902401219863E-002,4.370964444815064E-002,9.056146820443660E-003,0.351641513346258,0.293540376084496,0.888128043549708 
 05/11  11:00:00,0.790737343002179,3.12381878334644,0.000000000000000E+000,2.32068422641848,6.213741652812456E-002,6.213741652812456E-002,6.213741652812456E-002,4.370964444815064E-002,9.056146820443660E-003,0.366855814129303,0.293630308797759,0.782908183233509 
 05/11  12:00:00,0.760736081150556,2.46639501215676,0.000000000000000E+000,1.74565307594310,4.674068581096040E-002,4.674068581096040E-002,4.674068581096040E-002,4.370964444815064E-002,9.056146820443660E-003,0.357197582224207,0.288684009568392,0.700856282443622 
 05/11  13:00:00,0.723841965769412,1.87975499035703,0.000000000000000E+000,1.20701147207109,3.231830239569234E-002,3.231830239569234E-002,3.231830239569234E-002,4.370964444815064E-002,9.056146820443660E-003,0.324743319086342,0.298666540740383,0.652170229759361 
 05/11  14:00:00,0.708529323344900,1.56919063170782,0.000000000000000E+000,0.943685088006472,2.526761405852030E-002,2.526761405852030E-002,2.526761405852030E-002,4.370964444815064E-002,9.056146820443660E-003,0.299663947619161,0.315483958120226,0.603773807431782 
 05/11  15:00:00,0.737212831439207,1.67354454221070,0.000000000000000E+000,1.04061677253204,2.786300570533340E-002,2.786300570533340E-002,2.786300570533340E-002,4.370964444815064E-002,9.056146820443660E-003,0.308215184980723,0.333020837206157,0.609988026404375 
 05/11  16:00:00,0.850313494536229,1.81997467459811,0.000000000000000E+000,1.12445851168823,3.010790788077120E-002,3.010790788077120E-002,3.010790788077120E-002,4.662361982750796E-002,9.659889561745467E-003,0.354668780903828,0.393905284083975,0.668382467111499 
 05/11  17:00:00,1.04691461785197,2.45888693188565,0.000000000000000E+000,1.63263298654324,4.371451952295875E-002,4.371451952295875E-002,4.371451952295875E-002,5.827952822383222E-002,1.207486052695269E-002,0.438965730037081,0.478531967262748,0.793290841382785 
 05/11  18:00:00,1.13410619153491,2.76016109605759,0.000000000000000E+000,1.81582371582565,4.861953784467999E-002,4.861953784467999E-002,4.861953784467999E-002,0.101989172671983,2.113100307170893E-002,0.397477157158294,0.519541284509845,0.908549398353571 
 05/11  19:00:00,1.15284772414161,2.18474339503327,0.000000000000000E+000,1.22051794842135,3.267994468086372E-002,3.267994468086372E-002,3.267994468086372E-002,0.203978345343966,4.226202039570926E-002,0.322310632266247,0.536268769176425,0.927285211898284 
 05/11  20:00:00,1.32587786358954,2.28528674724992,0.000000000000000E+000,1.38807167134938,3.716627477002242E-002,3.716627477002242E-002,3.716627477002242E-002,0.358419088602172,7.426039566130900E-002,0.285979116882669,0.554704975394967,0.859004885105011 
 05/11  21:00:00,1.43913344949991,2.52976160020497,0.000000000000000E+000,1.71677356809179,4.596742334463453E-002,4.596742334463453E-002,4.596742334463453E-002,0.469150166775544,9.720263693352733E-002,0.269710545482451,0.541754664685357,0.775669908028833 
 05/11  22:00:00,1.20778597642225,3.00712292696319,0.000000000000000E+000,2.33207944472925,6.244252888186258E-002,6.244252888186258E-002,6.244252888186258E-002,0.367161062892504,7.607163386181841E-002,0.217943504277125,0.468819234230540,0.642749428307681 
 05/11  23:00:00,0.958295788352234,3.44825270509032,0.000000000000000E+000,2.92109868467025,7.821379730289112E-002,7.821379730289112E-002,7.821379730289112E-002,0.256429915930189,5.312939258960007E-002,0.147779479178003,0.407395191073153,0.499091088464212 
 05/11  24:00:00,0.700023945420967,3.77311746180786,0.000000000000000E+000,3.40315978080115,9.112121089294151E-002,9.112121089294151E-002,9.112121089294151E-002,0.131128926465557,2.716844473701840E-002,9.827947445740333E-002,0.336977876589647,0.346745361792912 
 05/12  01:00:00,0.611273087141942,4.28782193706572,0.000000000000000E+000,3.98908704824536,0.106809690289622,0.106809690289622,0.106809690289622,7.867735587933436E-002,1.630105829083620E-002,8.386910965267348E-002,0.310267860751076,0.277362457198330 
 05/12  02:00:00,0.575888698547135,4.72276891839261,0.000000000000000E+000,4.44313600359968,0.118967065576544,0.118967065576544,0.118967065576544,5.245157058622290E-002,1.086737504434908E-002,7.158412284098968E-002,0.306670552220629,0.258508279479568 
 05/12  03:00:00,0.573510656847217,5.07939669297496,0.000000000000000E+000,4.79460302487507,0.128377761115503,0.128377761115503,0.128377761115503,5.245157058622290E-002,1.086737504434908E-002,6.411215583864807E-002,0.302353781984093,0.263966388356954 
 05/12  04:00:00,0.584383241032449,5.59904240650531,0.000000000000000E+000,5.25972938929851,0.140831739263575,0.140831739263575,0.140831739263575,5.245157058622290E-002,1.086737504434908E-002,7.395221645997889E-002,0.290932327399923,0.319272490743852 
 05/12  05:00:00,0.641914097025922,6.14111035452158,0.000000000000000E+000,5.55747410671262,0.148803994736506,0.148803994736506,0.148803994736506,5.536555284447490E-002,1.147111778565089E-002,8.626832450802412E-002,0.324657094872865,0.561272630952304 
 05/12  06:00:00,0.785208319526545,7.06395364507153,0.000000000000000E+000,6.02508961488242,0.161324620884338,0.161324620884338,0.161324620884338,7.867735587933436E-002,1.630105829083620E-002,0.138447925181248,0.375109347012388,1.01302507010350 
 05/12  07:00:00,0.935848244079146,6.18626694093676,0.000000000000000E+000,5.02139976245643,0.134450350910307,0.134450350910307,0.134450350910307,0.131128926465557,2.716844473701840E-002,0.214170712514307,0.398581785173556,1.13741134748069 
 05/12  08:00:00,0.859638736113558,5.32927349917536,0.000000000000000E+000,4.20130656218937,0.112491968034788,0.112491968034788,0.112491968034788,9.907520417151992E-002,2.052726175563627E-002,0.275218413283566,0.336977876589647,1.10475461777218 
 05/12  09:00:00,0.791609065018962,4.37552965160987,0.000000000000000E+000,3.35044834868509,8.970983739546055E-002,8.970983739546055E-002,8.970983739546055E-002,5.245157058622290E-002,1.086737504434908E-002,0.336436847124624,0.286795422589907,1.00532574221679 
