Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 10/07  13:00:00,0.772557365483295,0.702752701176564,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.531741516529752E-002,1.767680347527147E-002,0.365867773415168,0.288347361149157,0.682890237031455 
 10/07  14:00:00,0.759090474830927,0.651084834931126,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.531741516529752E-002,1.767680347527147E-002,0.336164521264791,0.304583722647166,0.630103948384589 
 10/07  15:00:00,0.789460711848548,0.657623175204300,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.980781991903844E-002,1.860716455339973E-002,0.344183027252082,0.321514687845628,0.635476019308681 
 10/07  16:00:00,0.924772430569161,0.727048079275779,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.112259706109853,2.325895569174967E-002,0.393610230492980,0.380295525996177,0.700851875434893 
 10/07  17:00:00,1.18358123031512,0.866155218984643,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.184105975802873,3.814469018492773E-002,0.483984265787358,0.461998286261567,0.834331017925886 
 10/07  18:00:00,1.39036441204857,0.998578526074676,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.336779255907450,6.977686707524901E-002,0.436869555600276,0.501590697187195,0.964027048999608 
 10/07  19:00:00,1.52734113318206,1.02680191590971,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.529865972428858,0.109782265164142,0.354604650088013,0.517740233222650,0.991137997301675 
 10/07  20:00:00,1.57155301739892,0.957893084893455,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.583750691895860,0.120946569597098,0.315968290580894,0.535539453046672,0.921003088251770 
 10/07  21:00:00,1.42849811573610,0.863177970712724,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.489452467223080,0.101409043965570,0.299252005830474,0.523036586438579,0.827149219128821 
 10/07  22:00:00,1.15414634699577,0.802273735081355,0.000000000000000E+000,8.574072174527446E-002,2.295748331400698E-003,2.295748331400698E-003,2.295748331400698E-003,0.368211951605745,7.628936611756407E-002,0.239380132357161,0.452621136305497,0.685354746070661 
 10/07  23:00:00,0.884560563690135,0.945214921400974,0.000000000000000E+000,0.392933926980526,1.052099152951188E-002,1.052099152951188E-002,1.052099152951188E-002,0.255952245495893,5.303041042581440E-002,0.156389558580908,0.393319345379608,0.525187660311039 
 10/07  24:00:00,0.618683402866171,1.23863923196046,0.000000000000000E+000,0.860520472028369,2.304084217607074E-002,2.304084217607074E-002,2.304084217607074E-002,0.130221325124817,2.698038575197133E-002,9.775782933681368E-002,0.325335008198098,0.355708445824373 
