Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,2.58841640963119,0.000000000000000E+000,1.73735288474075,0.000000000000000E+000,5.439241989227916E-002,1.79174530463303,5.439241989227916E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171790520890 
 01/01  02:00:00,2.77889936677969,0.000000000000000E+000,2.07657678403638,0.000000000000000E+000,6.476966116956942E-002,2.14134644520595,6.476966116956942E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251094557866642E-002 
 01/01  03:00:00,2.98638883206735,0.000000000000000E+000,2.33249164473399,0.000000000000000E+000,7.242201593876361E-002,2.40491366067275,7.242201593876361E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044382700343513E-002 
 01/01  04:00:00,3.18989182122405,0.000000000000000E+000,2.53990827133195,0.000000000000000E+000,7.862890760876298E-002,2.61853717894071,7.862890760876298E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386855533991256E-002 
 01/01  05:00:00,3.39795164534281,0.000000000000000E+000,2.70859096604238,0.000000000000000E+000,8.362505003557900E-002,2.79221601607797,8.362505003557900E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148700196842 
 01/01  06:00:00,3.70643301923813,0.000000000000000E+000,2.80116094603463,0.000000000000000E+000,8.628114297617442E-002,2.88744208901080,8.628114297617442E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561268583859 
 01/01  07:00:00,4.02866580039103,0.000000000000000E+000,2.62739037463335,0.000000000000000E+000,8.082982775005686E-002,2.70822020238340,8.082982775005686E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070269325620 
 01/01  08:00:00,4.15791485821339,0.000000000000000E+000,2.38163592312952,0.000000000000000E+000,7.278868473295204E-002,2.45442460786247,7.278868473295204E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750291733325 
 01/01  09:00:00,3.94951533476893,0.000000000000000E+000,2.24102103593611,0.000000000000000E+000,6.868927070965315E-002,2.30971030664576,6.868927070965315E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627555024218723 
 01/01  10:00:00,3.52525380765348,0.000000000000000E+000,2.01773431528344,0.000000000000000E+000,6.200335283686203E-002,2.07973766812030,6.200335283686203E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744496183746 
