Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 02/19  07:00:00,1.65967150866969,5.42775061248210,0.000000000000000E+000,5.39645677392185,0.000000000000000E+000,0.133238787870236,0.133238787870236,0.133238787870236,0.129606320200073,2.792063897534331E-002,0.140300209330190,0.454329009980398,0.757632528998258 
 02/19  08:00:00,2.04524962321763,4.67442676135042,0.000000000000000E+000,4.64117471328063,0.000000000000000E+000,0.114311301272123,0.114311301272123,0.114311301272123,0.259212640400146,5.584127795068662E-002,0.228479631374793,0.482758612379073,0.873002134525607 
 02/19  09:00:00,1.95821755198149,4.15426214787923,0.000000000000000E+000,4.12614946193215,0.000000000000000E+000,0.101835736532763,0.101835736532763,0.101835736532763,0.231037325690453,4.977158501823616E-002,0.301038470675778,0.408144521792506,0.849745898956548 
 02/19  10:00:00,1.72457360102698,3.51255769460571,0.000000000000000E+000,3.48863152554107,0.000000000000000E+000,8.634700568180623E-002,8.634700568180623E-002,8.634700568180623E-002,0.112701179173451,2.427882321587303E-002,0.374973874529018,0.347363992526369,0.762264712585263 
 02/19  11:00:00,1.63926258242482,4.26363642522524,0.000000000000000E+000,4.23914755227855,0.000000000000000E+000,0.106078767793267,0.106078767793267,0.106078767793267,9.016091147263146E-002,1.942305170788894E-002,0.395705323380369,0.355533418503002,0.655717096252466 
 02/19  12:00:00,1.55040321857625,3.85407865110498,0.000000000000000E+000,3.82958227543987,0.000000000000000E+000,9.594706583303460E-002,9.594706583303460E-002,9.594706583303460E-002,9.016091147263146E-002,1.942305170788894E-002,0.413520973841281,0.355642344182689,0.559064858223529 
 02/19  13:00:00,1.46694394536576,4.27135291791177,0.000000000000000E+000,4.24726919176016,0.000000000000000E+000,0.106454305810773,0.106454305810773,0.106454305810773,9.016091147263146E-002,1.942305170788894E-002,0.399564582831336,0.349651431799824,0.485045648428103 
 02/19  14:00:00,1.40318195642391,4.61702737276089,0.000000000000000E+000,4.59211084486385,0.000000000000000E+000,0.114635701213018,0.114635701213018,0.114635701213018,9.016091147263146E-002,1.942305170788894E-002,0.361343887859729,0.361742182245239,0.439232208610197 
 02/19  15:00:00,1.36647425375396,4.99770458419550,0.000000000000000E+000,4.97138504795255,0.000000000000000E+000,0.123684097371545,0.123684097371545,0.123684097371545,9.579595848150547E-002,2.063699029437903E-002,0.331677028943703,0.382111284346975,0.395924881000651 
 02/19  16:00:00,1.43041973048055,5.38190517988623,0.000000000000000E+000,5.35412261354997,0.000000000000000E+000,0.132813650458393,0.132813650458393,0.132813650458393,0.112701179173451,2.427882321587303E-002,0.339830643750797,0.403351791886217,0.400799628680619 
 02/19  17:00:00,1.69136392224705,5.66470177053974,0.000000000000000E+000,5.63183986382818,0.000000000000000E+000,0.139273991454808,0.139273991454808,0.139273991454808,0.174686775936389,3.763216482928777E-002,0.389541720240152,0.477094477035276,0.456490779435937 
 02/19  18:00:00,2.22637076010183,6.96769033852617,0.000000000000000E+000,6.92776837377454,0.000000000000000E+000,0.171509019759258,0.171509019759258,0.171509019759258,0.338103457855030,7.283645248559537E-002,0.480315586171698,0.579593541622079,0.567368688892971 
 02/19  19:00:00,2.63619591286061,5.96325571519767,0.000000000000000E+000,5.91991251084322,0.000000000000000E+000,0.145524247106382,0.145524247106382,0.145524247106382,0.580410877563231,0.125035914676812,0.432484563045918,0.629263651559999,0.676832621593075 
 02/19  20:00:00,2.76019626567126,5.79518833672515,0.000000000000000E+000,5.75044962674319,0.000000000000000E+000,0.140489704662649,0.140489704662649,0.140489704662649,0.743827559481871,0.160240219495143,0.349484264583227,0.649523827982044,0.699986676151126 
 02/19  21:00:00,2.62446684018506,5.86769264969948,0.000000000000000E+000,5.82141588243992,0.000000000000000E+000,0.142435745344797,0.142435745344797,0.142435745344797,0.693111977071358,0.149314737892685,0.310627018288144,0.671853592318169,0.640479755954712 
 02/19  22:00:00,2.37312666067431,6.04656173379929,0.000000000000000E+000,6.00136535799328,0.000000000000000E+000,0.146929328424848,0.146929328424848,0.146929328424848,0.574775830554358,0.123821976090322,0.293847747077229,0.656168294443038,0.560939470769318 
 02/19  23:00:00,1.93348549112338,6.36812264573954,0.000000000000000E+000,6.32901097457806,0.000000000000000E+000,0.155013542640769,0.155013542640769,0.155013542640769,0.428264369327660,9.225952135550804E-002,0.234077001284697,0.567829568215730,0.439397474983813 
 02/19  24:00:00,1.49367049112903,6.76838653103117,0.000000000000000E+000,6.73439921655554,0.000000000000000E+000,0.165084649221325,0.165084649221325,0.165084649221325,0.298658049127587,6.433888238016472E-002,0.151364768589688,0.493433328988539,0.304146799506523 
 02/20  01:00:00,1.02239223585948,7.21445704233788,0.000000000000000E+000,7.18634435639080,0.000000000000000E+000,0.176182389313812,0.176182389313812,0.176182389313812,0.152146508235569,3.277641048332741E-002,8.628146833019194E-002,0.408144521792506,0.150216924388878 
 02/20  02:00:00,0.861027331859501,7.91093982612716,0.000000000000000E+000,7.88505544755301,0.000000000000000E+000,0.193381162306902,0.193381162306902,0.193381162306902,9.016091147263146E-002,1.942305170788894E-002,7.215287085224550E-002,0.375793594925046,9.347172727958644E-002 
 02/20  03:00:00,0.811589750415917,8.61474844125185,0.000000000000000E+000,8.58916417141478,0.000000000000000E+000,0.210514126836676,0.210514126836676,0.210514126836676,6.198562862906712E-002,1.335335019442661E-002,5.963123831382165E-002,0.371436567737508,7.802482538921676E-002 
 02/20  04:00:00,0.821524361696894,9.35914127080392,0.000000000000000E+000,9.33391713145134,0.000000000000000E+000,0.228339211454555,0.228339211454555,0.228339211454555,6.198562862906712E-002,1.335335019442661E-002,5.252950047341648E-002,0.366208135112465,8.246452251776386E-002 
 02/20  05:00:00,0.874057109866220,9.81429098812598,0.000000000000000E+000,9.79001969401371,0.000000000000000E+000,0.238948859190784,0.238948859190784,0.238948859190784,6.198562862906712E-002,1.335335019442661E-002,6.307145054710674E-002,0.352374573792036,0.127679234197601 
 02/20  06:00:00,1.14016393993810,10.1395147632155,0.000000000000000E+000,10.1124299496930,0.000000000000000E+000,0.246614081062193,0.246614081062193,0.246614081062193,6.762069157100609E-002,1.456729221332145E-002,7.590124009602323E-002,0.393221703675195,0.325594918005165 
 02/20  07:00:00,1.71800080464431,10.8870271259833,0.000000000000000E+000,10.8557332874231,0.000000000000000E+000,0.264741185081374,0.264741185081374,0.264741185081374,0.129606320200073,2.792063897534331E-002,0.129674688612276,0.454329009980398,0.695084948479647 
 02/20  08:00:00,2.09832748402420,10.8843237375331,0.000000000000000E+000,10.8510716894634,0.000000000000000E+000,0.264627501653865,0.264627501653865,0.264627501653865,0.259212640400146,5.584127795068662E-002,0.207318252526134,0.482758612379073,0.796925173799098 
 02/20  09:00:00,1.98981664413734,10.0878562499240,0.000000000000000E+000,10.0597435639769,0.000000000000000E+000,0.245329206441305,0.245329206441305,0.245329206441305,0.231037325690453,4.977158501823616E-002,0.268601143833745,0.408144521792506,0.770288848045894 
 02/20  10:00:00,1.74923132367919,9.42482192611387,0.000000000000000E+000,9.40089575704923,0.000000000000000E+000,0.229261738258721,0.229261738258721,0.229261738258721,0.112701179173451,2.427882321587303E-002,0.329942780038288,0.347363992526369,0.689038797151286 
 02/20  11:00:00,1.66504692320395,10.0995944978886,0.000000000000000E+000,10.0751056249420,0.000000000000000E+000,0.245703844442949,0.245703844442949,0.245703844442949,9.016091147263146E-002,1.942305170788894E-002,0.344789053358086,0.355533418503002,0.592792630404197 
 02/20  12:00:00,1.54991225889560,8.23434508741308,0.000000000000000E+000,8.20984871174796,0.000000000000000E+000,0.200215408737523,0.200215408737523,0.200215408737523,9.016091147263146E-002,1.942305170788894E-002,0.361032172331260,0.355642344182689,0.506794357148403 
 02/20  13:00:00,1.44788903339744,7.42698709395156,0.000000000000000E+000,7.40290336779996,0.000000000000000E+000,0.180536252940632,0.180536252940632,0.180536252940632,9.016091147263146E-002,1.942305170788894E-002,0.351754038491839,0.349651431799824,0.439719333669424 
 02/20  14:00:00,1.37734809381985,7.06694047107524,0.000000000000000E+000,7.04202394317820,0.000000000000000E+000,0.171735406050212,0.171735406050212,0.171735406050212,9.016091147263146E-002,1.942305170788894E-002,0.317755820474586,0.361742182245239,0.399886708554097 
 02/20  15:00:00,1.35099934831642,7.49697586376981,0.000000000000000E+000,7.47065632752686,0.000000000000000E+000,0.182936042229346,0.182936042229346,0.182936042229346,9.579595848150547E-002,2.063699029437903E-002,0.292551425468039,0.382111284346975,0.360323634180977 
 02/20  16:00:00,1.42476774086460,8.15329922649480,0.000000000000000E+000,8.12551666015852,0.000000000000000E+000,0.199633062616914,0.199633062616914,0.199633062616914,0.112701179173451,2.427882321587303E-002,0.302771641248355,0.403351791886217,0.365387229408586 
