Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 07/17  10:00:00,0.718192962226563,0.838500260724197,0.000000000000000E+000,0.000000000000000E+000,9.296725131412739E-003,3.133367265268862E-003,1.243009239668160E-002,3.133367265268862E-003,5.387098907413678E-002,1.173711413578380E-002,0.346769520115789,0.276273232814574,0.819471192071479 
 07/17  11:00:00,0.846713092778291,0.745168742701598,0.000000000000000E+000,0.000000000000000E+000,9.569923534959481E-002,3.086648471889913E-002,0.126565720068494,3.086648471889913E-002,5.387098907413678E-002,1.173711413578380E-002,0.361069380461137,0.276357875349137,0.726133844064610 
 07/17  12:00:00,0.921640978819093,0.672147852247849,0.000000000000000E+000,0.000000000000000E+000,0.164228361231019,5.246258341395065E-002,0.216690944644970,5.246258341395065E-002,5.387098907413678E-002,1.173711413578380E-002,0.350527381326447,0.271702535948156,0.653433602745636 
 07/17  13:00:00,1.03468184258939,0.629973251768982,0.000000000000000E+000,0.000000000000000E+000,0.268028008999804,8.339043385556204E-002,0.351418442855365,8.339043385556204E-002,5.387098907413678E-002,1.173711413578380E-002,0.319445425549819,0.281097857284681,0.610611874012953 
 07/17  14:00:00,1.16001799168956,0.588253436290264,0.000000000000000E+000,0.000000000000000E+000,0.371476682492430,0.114263599427364,0.485740281919795,0.114263599427364,5.387098907413678E-002,1.173711413578380E-002,0.294631581622230,0.296926011248016,0.567801851476007 
 07/17  15:00:00,1.30141283540397,0.595077866175915,0.000000000000000E+000,0.000000000000000E+000,0.460476074884082,0.143240354049548,0.603716428933629,0.143240354049548,5.387098907413678E-002,1.173711413578380E-002,0.301544984082964,0.313431305487858,0.573489434429280 
 07/17  16:00:00,1.54346010034353,0.650854649407136,0.000000000000000E+000,0.000000000000000E+000,0.566311586144568,0.176133192547413,0.742444778691981,0.176133192547413,5.723791909934670E-002,1.247068240331294E-002,0.343460405072082,0.370734301387204,0.625319318310660 
 07/17  17:00:00,1.91034597730920,0.767666733822276,0.000000000000000E+000,0.000000000000000E+000,0.717411567017178,0.223106484594680,0.940518051611856,0.223106484594680,6.733872589355760E-002,1.467139266972975E-002,0.420322867033191,0.450382926411258,0.736645387529041 
 07/17  18:00:00,1.84706961636594,0.873713274217571,0.000000000000000E+000,0.000000000000000E+000,0.603800958303305,0.192806196628694,0.796607154932000,0.192806196628694,0.107741978148274,2.347423191412051E-002,0.383154291509830,0.488979922172116,0.840033455097857 
 07/17  19:00:00,1.81460962353251,0.891991872886483,0.000000000000000E+000,0.000000000000000E+000,0.549872580121720,0.177486883518043,0.727359463639764,0.177486883518043,0.205383090987301,4.474774263416546E-002,0.315283878980793,0.504723433600890,0.857227676692807 
