Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.793295119406821,5.62941029638697,0.000000000000000E+000,5.23774415001133,0.140243074095128,0.140243074095128,0.140243074095128,0.132991937463835,2.755443954505400E-002,9.294299910333617E-002,0.384214656921069,0.365199977874179 
 01/01  02:00:00,0.690501704072060,5.97167567409586,0.000000000000000E+000,5.66022800771464,0.151555278980079,0.151555278980079,0.151555278980079,7.757865884929742E-002,1.607342069256627E-002,7.618584051012475E-002,0.353760492761593,0.287079296664098 
 01/01  03:00:00,0.659385777525497,6.45793862702563,0.000000000000000E+000,6.16825583971261,0.165157964190490,0.165157964190490,0.165157964190490,5.541331988790434E-002,1.148101600202945E-002,6.232654333565033E-002,0.349658921831025,0.265596949418726 
 01/01  04:00:00,0.655941977263448,6.83067736037666,0.000000000000000E+000,6.53531395605029,0.174986118665475,0.174986118665475,0.174986118665475,5.541331988790434E-002,1.148101600202945E-002,5.397647371529803E-002,0.344737036714339,0.271616604619466 
 01/01  05:00:00,0.663140733174440,7.20575288259592,0.000000000000000E+000,6.84809276455069,0.183360919029830,0.183360919029830,0.183360919029830,5.541331988790434E-002,1.148101600202945E-002,6.582291696649339E-002,0.331714549009782,0.334810356875718 
 01/01  06:00:00,0.721691253305099,7.69884019581901,0.000000000000000E+000,7.06631356335611,0.189203884012359,0.189203884012359,0.189203884012359,5.541331988790434E-002,1.148101600202945E-002,8.007824464053613E-002,0.370166776483870,0.607028135454573 
 01/01  07:00:00,0.947604956400259,9.00241105844092,0.000000000000000E+000,7.85513699850252,0.210325004153932,0.210325004153932,0.210325004153932,0.127450643996854,2.640633195888867E-002,0.140383655227083,0.427691308785101,1.11781305411522 
 01/01  08:00:00,1.21815573268830,8.40531124436700,0.000000000000000E+000,7.11034410349456,0.190382822526008,0.190382822526008,0.190382822526008,0.260442581460688,5.396077150394267E-002,0.228567473812190,0.454454059107065,1.26366261490542 
 01/01  09:00:00,1.17531084738162,7.74435523033820,0.000000000000000E+000,6.48337732482874,0.173595490827985,0.173595490827985,0.173595490827985,0.249359925737781,5.166457058390340E-002,0.301128191032485,0.384214656921069,1.23451173700803 
 01/01  10:00:00,1.01908417413672,6.66739455569635,0.000000000000000E+000,5.52059686869638,0.147816589266630,0.147816589266630,0.147816589266630,0.127450643996854,2.640633195888867E-002,0.375064854196324,0.326997742439629,1.12427283742669 
 01/01  11:00:00,1.02253193709661,6.60023475245999,0.000000000000000E+000,5.58732656446734,0.149603308396149,0.149603308396149,0.149603308396149,0.105285332551039,2.181393011881013E-002,0.395793165817765,0.334688187934444,0.989853591251592 
 01/01  12:00:00,0.990522999035807,4.61355416717899,0.000000000000000E+000,3.72266748435024,9.967618060117067E-002,9.967618060117067E-002,9.967618060117067E-002,0.105285332551039,2.181393011881013E-002,0.413608816278677,0.334790727207709,0.867825022792121 
 01/01  13:00:00,0.939513779236694,3.34633937523855,0.000000000000000E+000,2.54929721846170,6.825863739420233E-002,6.825863739420233E-002,6.825863739420233E-002,0.105285332551039,2.181393011881013E-002,0.399656799716067,0.329151067178176,0.774368977996592 
 01/01  14:00:00,0.896197344442449,2.67379739791454,0.000000000000000E+000,1.93389821115219,5.178103823923218E-002,5.178103823923218E-002,5.178103823923218E-002,0.105285332551039,2.181393011881013E-002,0.361436104744461,0.340532926510507,0.716441982173805 
 01/01  15:00:00,0.884793456081651,2.33656778397141,0.000000000000000E+000,1.65005495123704,4.418100085833102E-002,4.418100085833102E-002,4.418100085833102E-002,0.110826626018020,2.296203770497546E-002,0.331768008611008,0.359707770610917,0.661734791874202 
 01/01  16:00:00,0.947728285915919,2.39394319648130,0.000000000000000E+000,1.70001301083499,4.551865150585790E-002,4.551865150585790E-002,4.551865150585790E-002,0.138533299719761,2.870253287892793E-002,0.339922860635529,0.379702928897442,0.667774802149961 
 01/01  17:00:00,1.19120338096215,2.86560798521136,0.000000000000000E+000,2.09662808844270,5.613820758250652E-002,5.613820758250652E-002,5.613820758250652E-002,0.232735907758947,4.822026207769880E-002,0.389638974367272,0.449122016897326,0.738042662171299 
 01/01  18:00:00,1.65547068071537,4.36302371195829,0.000000000000000E+000,3.44767417680844,9.231310487606731E-002,9.231310487606731E-002,9.231310487606731E-002,0.432223917138118,8.955192139527980E-002,0.480422251988538,0.545611473038965,0.877765739420963 
 01/01  19:00:00,1.92303611058325,3.92305018092397,0.000000000000000E+000,2.86643052424764,7.675003148058106E-002,7.675003148058106E-002,7.675003148058106E-002,0.642794513451249,0.133179781632900,0.432594366092666,0.592369381647454,1.01581499816742 
 01/01  20:00:00,1.87625686154029,3.96570480690286,0.000000000000000E+000,2.87860084364672,7.707589753214120E-002,7.707589753214120E-002,7.707589753214120E-002,0.681583842875899,0.141216491979183,0.349590930400065,0.611441686474602,1.04498553177119 
 01/01  21:00:00,1.75322283985995,4.21059372304401,0.000000000000000E+000,3.19703469664399,8.560211438452311E-002,8.560211438452311E-002,8.560211438452311E-002,0.587381166047768,0.121698762780412,0.310730546875078,0.632462237493769,0.969992619323177 
