Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 03/03  14:00:00,0.859938863689602,5.09691820433641,0.000000000000000E+000,4.25989568060221,0.000000000000000E+000,0.117288920904128,0.117288920904128,0.117288920904128,6.490060501591859E-002,1.414018642934009E-002,0.324743319086342,0.321753818564274,0.814860856314039 
 03/03  15:00:00,0.852515461072251,5.02045677271368,0.000000000000000E+000,4.24313579005611,0.000000000000000E+000,0.116827466064853,0.116827466064853,0.116827466064853,6.490060501591859E-002,1.414018642934009E-002,0.299663947619161,0.339871242253379,0.753911428514244 
 03/03  16:00:00,0.892775077512057,5.05346603716368,0.000000000000000E+000,4.26695275492497,0.000000000000000E+000,0.117483225341165,0.117483225341165,0.117483225341165,7.488530962177171E-002,1.631560098704535E-002,0.308215184980723,0.358763742891751,0.761802455843983 
 03/03  17:00:00,1.05503819347004,5.18893311690520,0.000000000000000E+000,4.32427078530700,0.000000000000000E+000,0.119061378994662,0.119061378994662,0.119061378994662,0.114824136404476,2.501725375403699E-002,0.354668780903828,0.424354629723432,0.835433754874202 
 03/03  18:00:00,1.40710410303408,6.68659353670686,0.000000000000000E+000,5.65935101309147,0.000000000000000E+000,0.155820523109464,0.155820523109464,0.155820523109464,0.229648272808951,5.003450750807398E-002,0.438965730037081,0.515523055880909,0.991734474129450 
 03/03  19:00:00,1.68039681818885,6.07442254004356,0.000000000000000E+000,4.90242035157795,0.000000000000000E+000,0.134979735647829,0.134979735647829,0.134979735647829,0.444319538864866,9.680590683916351E-002,0.397477157158294,0.559702441989101,1.13345116386869 
 03/03  20:00:00,1.86468574133302,6.24076950437377,0.000000000000000E+000,5.04451495110662,0.000000000000000E+000,0.138892066722252,0.138892066722252,0.138892066722252,0.663983056912221,0.144664990683150,0.322310632266247,0.577722981059548,1.15646231513813 
 03/03  21:00:00,1.91711180091297,6.45167262738258,0.000000000000000E+000,5.33854602992835,0.000000000000000E+000,0.146987708149416,0.146987708149416,0.146987708149416,0.713906579941488,0.155542054365294,0.285979116882669,0.597584327884505,1.07196635516344 
 03/03  22:00:00,1.75815904764261,6.75030305934729,0.000000000000000E+000,5.74200654923123,0.000000000000000E+000,0.158096301524585,0.158096301524585,0.158096301524585,0.599082443537010,0.130524800611257,0.269710545482451,0.583632942797706,0.968097207334021 
 03/03  23:00:00,1.45807263640633,7.03654358582770,0.000000000000000E+000,6.20166168797027,0.000000000000000E+000,0.170752117359756,0.170752117359756,0.170752117359756,0.449311874449212,9.789360956482500E-002,0.217943504277125,0.505059517065810,0.800094553003050 
 03/03  24:00:00,1.17084442010364,7.33179918537938,0.000000000000000E+000,6.68361103221469,0.000000000000000E+000,0.184021765904034,0.184021765904034,0.184021765904034,0.314518312114448,6.852552669537749E-002,0.147779479178003,0.438887322522180,0.617958597785766 
 03/04  01:00:00,0.876240080743237,7.61155380860579,0.000000000000000E+000,7.14358280039764,0.000000000000000E+000,0.196686299587853,0.196686299587853,0.196686299587853,0.159755323849397,3.480661471051949E-002,0.104853162793151,0.363026666112717,0.442966561407979 
 03/04  02:00:00,0.765190893265053,8.01558381096011,0.000000000000000E+000,7.64491686673227,0.000000000000000E+000,0.210489673205809,0.210489673205809,0.210489673205809,9.485471047418767E-002,2.066642463862648E-002,8.781613688563442E-002,0.334251934371197,0.347644435164423 
 03/04  03:00:00,0.720534647797049,8.32683362528565,0.000000000000000E+000,7.98342556807379,0.000000000000000E+000,0.219809929680115,0.219809929680115,0.219809929680115,6.490060501591859E-002,1.414018642934009E-002,7.419536335721098E-002,0.330376549624864,0.320652475789762 
 03/04  04:00:00,0.712543706971896,8.52884640758631,0.000000000000000E+000,8.17872820514797,0.000000000000000E+000,0.225187252804827,0.225187252804827,0.225187252804827,6.490060501591859E-002,1.414018642934009E-002,6.547756110294642E-002,0.325726087929265,0.327682934185807 
 03/04  05:00:00,0.719988920027572,8.91748381910951,0.000000000000000E+000,8.49121349648953,0.000000000000000E+000,0.233790999320677,0.233790999320677,0.233790999320677,6.490060501591859E-002,1.414018642934009E-002,7.662337421237893E-002,0.313421741359659,0.404682549628614 
 03/04  06:00:00,0.775865662229414,9.24074352149593,0.000000000000000E+000,8.48116397051266,0.000000000000000E+000,0.233514302860059,0.233514302860059,0.233514302860059,6.989295731884501E-002,1.522789461883095E-002,9.036502038555042E-002,0.349753473356527,0.735489331354567 
 03/04  07:00:00,0.947032479910608,10.2095479090500,0.000000000000000E+000,8.82495227130250,0.000000000000000E+000,0.242979924049496,0.242979924049496,0.242979924049496,0.109831800820130,2.392955102837551E-002,0.149073445899162,0.404105744423842,1.35676175794940 
 03/04  08:00:00,1.14519151101348,9.23786316012217,0.000000000000000E+000,7.67189078306963,0.000000000000000E+000,0.211232353725938,0.211232353725938,0.211232353725938,0.194701840125627,4.242057021567902E-002,0.235332091362966,0.429392629893665,1.53639679439484 
 03/04  09:00:00,1.06239168480844,8.28811448627101,0.000000000000000E+000,6.75964986097651,0.000000000000000E+000,0.186115364630617,0.186115364630617,0.186115364630617,0.154762988265052,3.371891198485800E-002,0.307655740125598,0.363026666112717,1.50346017849432 
 03/04  10:00:00,0.965312845405756,7.22177113981807,0.000000000000000E+000,5.82883129295678,0.000000000000000E+000,0.160486871919471,0.160486871919471,0.160486871919471,7.987766192469842E-002,1.740330735525975E-002,0.381467941615351,0.308965048901375,1.37165904065744 
 03/04  11:00:00,0.978769454840307,7.18133263172170,0.000000000000000E+000,5.95016077265609,0.000000000000000E+000,0.163827471036156,0.163827471036156,0.163827471036156,6.490060501591859E-002,1.414018642934009E-002,0.402557783368541,0.316231395300750,1.20939056353432 
 03/04  12:00:00,0.949414379715221,5.35255819550057,0.000000000000000E+000,4.27078279849987,0.000000000000000E+000,0.117588679021630,0.117588679021630,0.117588679021630,6.490060501591859E-002,1.414018642934009E-002,0.419344615639324,0.316328279919408,1.05998742827837 
 03/04  13:00:00,0.909557796894655,4.50604884155675,0.000000000000000E+000,3.53743623703486,0.000000000000000E+000,9.739723930289439E-002,9.739723930289439E-002,9.739723930289439E-002,6.490060501591859E-002,1.414018642934009E-002,0.405008126563703,0.310999625893199,0.947191661306356 
 03/04  14:00:00,0.873837221313837,4.07993241923335,0.000000000000000E+000,3.18157502257334,0.000000000000000E+000,8.759921114321785E-002,8.759921114321785E-002,8.759921114321785E-002,6.490060501591859E-002,1.414018642934009E-002,0.368331386471487,0.321753818564274,0.876195729239817 
 03/04  15:00:00,0.857191189013205,3.82508541599475,0.000000000000000E+000,2.99192745037374,0.000000000000000E+000,8.237759053014304E-002,8.237759053014304E-002,8.237759053014304E-002,6.490060501591859E-002,1.414018642934009E-002,0.338789551094827,0.339871242253379,0.809748411477678 
