Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 10/13  24:00:00,1.09649696649440,2.368148738693553E-002,0.000000000000000E+000,0.000000000000000E+000,0.266748345573697,8.220952946364261E-002,0.348957875037341,8.220952946364261E-002,0.150810919083199,3.248867199347680E-002,9.118414100106639E-002,0.343811664352345,0.112599681711780 
 10/14  01:00:00,0.856649569101279,2.180441192552108E-002,0.000000000000000E+000,0.000000000000000E+000,0.192256055083720,5.963287058149858E-002,0.251888925665218,5.963287058149858E-002,9.360675538534440E-002,2.016537788228940E-002,8.089405516241929E-002,0.316559979187506,7.689046250330051E-002 
 10/14  02:00:00,0.723650618637640,2.155160714957301E-002,0.000000000000000E+000,0.000000000000000E+000,0.141603379814208,4.412785741885491E-002,0.185731237233063,4.412785741885491E-002,6.240450093471887E-002,1.344358811519689E-002,6.698660335484008E-002,0.312889718559247,6.555095712537569E-002 
 10/14  03:00:00,0.666833928990219,2.124824141843534E-002,0.000000000000000E+000,0.000000000000000E+000,0.105478541452748,3.307028331403799E-002,0.138548824766786,3.307028331403799E-002,6.240450093471887E-002,1.344358811519689E-002,5.849644581967755E-002,0.308485405805333,6.881115023330726E-002 
 10/14  04:00:00,0.669081140918487,2.044558625480019E-002,0.000000000000000E+000,0.000000000000000E+000,8.080604890482547E-002,2.548358750318669E-002,0.106289636408012,2.548358750318669E-002,6.240450093471887E-002,1.344358811519689E-002,7.021500402342022E-002,0.296832328310603,0.103252069811335 
 10/14  05:00:00,0.871530453350472,2.281563102931338E-002,0.000000000000000E+000,0.000000000000000E+000,7.826961150143300E-002,2.478877892275999E-002,0.103058390424193,2.478877892275999E-002,6.760487800424524E-002,1.456388726781349E-002,8.441327210734366E-002,0.331241021700550,0.254004990531126 
 10/14  06:00:00,1.35979201873884,2.636121801198509E-002,0.000000000000000E+000,0.000000000000000E+000,8.272752100734831E-002,2.634432657939399E-002,0.109071847586742,2.634432657939399E-002,0.140410133078017,3.024806682343410E-002,0.144665999088276,0.382716427011910,0.536035531835263 
 10/14  07:00:00,1.81286427540554,2.801076917504630E-002,0.000000000000000E+000,0.000000000000000E+000,0.137919036507171,4.298179570583405E-002,0.180900832213006,4.298179570583405E-002,0.286020659158625,6.161643623188955E-002,0.232810738293084,0.406664877611314,0.613206706582420 
 10/14  08:00:00,1.76691421811582,2.368148738693553E-002,0.000000000000000E+000,0.000000000000000E+000,0.150884395150287,4.588661121006599E-002,0.196771006360353,4.588661121006599E-002,0.254818380808402,5.489465504580890E-002,0.305419771788383,0.343811664352345,0.594554726445328 
 10/14  09:00:00,1.60897138712549,2.015486076245996E-002,0.000000000000000E+000,0.000000000000000E+000,0.182851031428947,5.413154425767104E-002,0.236982575686618,5.413154425767104E-002,0.124809033735567,2.688717623039378E-002,0.379392669043303,0.292611528588105,0.531644390526297 
 10/14  10:00:00,1.74764717238612,2.062886971736260E-002,0.000000000000000E+000,0.000000000000000E+000,0.352948768070577,0.101499058322073,0.454447826392651,0.101499058322073,9.880714838793546E-002,2.128568046731075E-002,0.400036430298660,0.299493267266094,0.456932806258269 
 10/14  11:00:00,1.89365282544722,2.063518983676127E-002,0.000000000000000E+000,0.000000000000000E+000,0.507468472462728,0.141808185237138,0.649276657699866,0.141808185237138,9.880714838793546E-002,2.128568046731075E-002,0.417737799937434,0.299585023781800,0.390316501857674 
 10/14  12:00:00,2.09893236873014,2.028758326983269E-002,0.000000000000000E+000,0.000000000000000E+000,0.727538695851274,0.196867193114699,0.924405888965972,0.196867193114699,9.880714838793546E-002,2.128568046731075E-002,0.403916966332617,0.294538415417941,0.339334255843157 
 10/14  13:00:00,2.28033112098601,2.098911652308856E-002,0.000000000000000E+000,0.000000000000000E+000,0.919334891682464,0.244955972518216,1.16429086420068,0.244955972518216,9.880714838793546E-002,2.128568046731075E-002,0.365867773415168,0.304723388661366,0.308712252538354 
 10/14  14:00:00,2.46643883517957,2.217097885064581E-002,0.000000000000000E+000,0.000000000000000E+000,1.10367349817449,0.288849823951024,1.39252332212552,0.288849823951024,9.880714838793546E-002,2.128568046731075E-002,0.336164521264791,0.321881857098485,0.279132292520328 
 10/14  15:00:00,2.71803623094825,2.340340213339267E-002,0.000000000000000E+000,0.000000000000000E+000,1.27861563795119,0.329364936568097,1.60798057451929,0.329364936568097,0.104007541390527,2.240598305233210E-002,0.344183027252082,0.339774377661257,0.283040713757568 
 10/14  16:00:00,2.88621171846306,2.768212296631377E-002,0.000000000000000E+000,0.000000000000000E+000,1.25999857284106,0.334238920725198,1.59423749356626,0.334238920725198,0.130009347072834,2.800747881541513E-002,0.393610230492980,0.401893538794574,0.321809616405793 
 10/14  17:00:00,3.25822610222730,3.362935532049217E-002,0.000000000000000E+000,0.000000000000000E+000,1.26468819579474,0.345210590822646,1.60989878661739,0.345210590822646,0.213215396118320,4.593226868968556E-002,0.483984265787358,0.488236420074412,0.400314951624919 
 10/14  18:00:00,3.36480579207904,3.651132976630016E-002,0.000000000000000E+000,0.000000000000000E+000,1.09188733599958,0.306401388188098,1.39828872418767,0.306401388188098,0.390028120883828,8.402241928422165E-002,0.436869555600276,0.530077391236588,0.478875543571245 
 10/14  19:00:00,3.34684989718233,3.768687197445874E-002,0.000000000000000E+000,0.000000000000000E+000,0.919306683402820,0.266984891548986,1.18629157495181,0.266984891548986,0.613644303007330,0.132195275981926,0.354604650088013,0.547144103158002,0.496325976680044 
 10/14  20:00:00,3.15669733746096,3.898249645119248E-002,0.000000000000000E+000,0.000000000000000E+000,0.756428816692208,0.226399956517203,0.982828773209412,0.226399956517203,0.676048780042452,0.145638872678135,0.315968290580894,0.565954188877839,0.453614418757036 
 10/14  21:00:00,2.71848202815635,3.807239925777948E-002,0.000000000000000E+000,0.000000000000000E+000,0.583930803064613,0.179961951749172,0.763892754813784,0.179961951749172,0.566840925314658,0.122112587040781,0.299252005830474,0.552741250616099,0.396998491225350 
 10/14  22:00:00,2.15958089025581,3.294678242543235E-002,0.000000000000000E+000,0.000000000000000E+000,0.453226581505358,0.140580955907907,0.593807537413267,0.140580955907907,0.426430792236641,9.186452021734738E-002,0.239380132357161,0.478326716378109,0.313127178338081 
 10/14  23:00:00,1.61094393554592,2.863014087611910E-002,0.000000000000000E+000,0.000000000000000E+000,0.336880199841455,0.104985665063559,0.441865864905015,0.104985665063559,0.296421365498483,6.385704140193225E-002,0.156389558580908,0.415657016150552,0.220109075693832 
