Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 12/14  13:00:00,1.13885601370438,8.88646751422263,0.000000000000000E+000,8.05711463577080,0.000000000000000E+000,0.254110630402034,0.254110630402034,0.254110630402034,0.132355408019962,2.883687116522848E-002,0.351846255376571,0.354594835050983,0.804929196898101 
 12/14  14:00:00,1.09157535426857,8.02207634025408,0.000000000000000E+000,7.24797864466925,0.000000000000000E+000,0.228566498425637,0.228566498425637,0.228566498425637,0.132355408019962,2.883687116522848E-002,0.317848037359318,0.366856525608822,0.748829456818486 
 12/14  15:00:00,1.08454922592901,7.35245892452843,0.000000000000000E+000,6.63235838638188,0.000000000000000E+000,0.209121274176291,0.209121274176291,0.209121274176291,0.146287587029976,3.187233799785000E-002,0.292642405135342,0.387513607899952,0.693409486778790 
 12/14  16:00:00,1.18271269842770,7.31460284420493,0.000000000000000E+000,6.58589210870233,0.000000000000000E+000,0.207652022588381,0.207652022588381,0.207652022588381,0.202016219477126,4.401416890280695E-002,0.302863858133087,0.409054415636696,0.700536002545112 
 12/14  17:00:00,1.51005856230761,7.59221663735248,0.000000000000000E+000,6.79001453314572,0.000000000000000E+000,0.214227965103870,0.214227965103870,0.214227965103870,0.362235901924209,7.892197373327849E-002,0.353721026385214,0.483839681471435,0.768876333114760 
 12/14  18:00:00,2.07883540547855,9.08377588170445,0.000000000000000E+000,8.13051057274200,0.000000000000000E+000,0.256838903433810,0.256838903433810,0.256838903433810,0.633912849265593,0.138113458586428,0.445070293491817,0.587787887011303,0.912779823122116 
 12/14  19:00:00,2.32857200141666,8.28980598324259,0.000000000000000E+000,7.20217127560149,0.000000000000000E+000,0.226959090572077,0.226959090572077,0.226959090572077,0.835928985149814,0.182127627489235,0.398284023104866,0.638160237411070,1.04367968946791 
 12/14  20:00:00,2.17552105037543,8.53294133110002,0.000000000000000E+000,7.42196901307374,0.000000000000000E+000,0.234169800973766,0.234169800973766,0.234169800973766,0.780200436295569,0.169985796584278,0.315346148810717,0.658706854021501,1.06560209587521 
 12/14  21:00:00,2.08415281946898,8.78195637850868,0.000000000000000E+000,7.74793671169677,0.000000000000000E+000,0.244465131272910,0.244465131272910,0.244465131272910,0.710539708431312,0.154808498846700,0.275875148663200,0.681352318565255,0.987089676835765 
 12/14  22:00:00,1.92635483285412,9.04527074323417,0.000000000000000E+000,8.10814756662322,0.000000000000000E+000,0.255847824774073,0.255847824774073,0.255847824774073,0.599082443537010,0.130524800611257,0.258342489697899,0.665445260544277,0.891288828424120 
