Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 11/03  18:00:00,1.76284754778380,5.05071718939094,0.000000000000000E+000,4.19253473557458,0.000000000000000E+000,0.115434252821679,0.115434252821679,0.115434252821679,0.563625174599779,0.122799546901809,0.448200887087803,0.495675672683124,0.824041446709474 
 11/03  19:00:00,2.02272473188069,4.47890539985201,0.000000000000000E+000,3.50194278985149,0.000000000000000E+000,9.641998811379544E-002,9.641998811379544E-002,9.641998811379544E-002,0.770935583647974,0.167967203035905,0.402135745161050,0.538154174232364,0.939895780822420 
 11/03  20:00:00,1.93804350670056,4.86822850926041,0.000000000000000E+000,3.87059064452559,0.000000000000000E+000,0.106570074479815,0.106570074479815,0.106570074479815,0.770935583647974,0.167967203035905,0.319977700404031,0.555480931443240,0.959377608132964 
 11/03  21:00:00,1.86461298618000,5.44362408500248,0.000000000000000E+000,4.51364340478856,0.000000000000000E+000,0.124275429256250,0.124275429256250,0.124275429256250,0.712629531103169,0.155263817960955,0.280754567951364,0.574577626218664,0.890405086935311 
 11/03  22:00:00,1.71602326042176,5.95338814980029,0.000000000000000E+000,5.10962182879258,0.000000000000000E+000,0.140684672926670,0.140684672926670,0.140684672926670,0.602495876296315,0.131268500639717,0.263298834297921,0.561163362571536,0.805114671541091 
 11/03  23:00:00,1.41710026819901,6.48528728698448,0.000000000000000E+000,5.78236393334225,0.000000000000000E+000,0.159207472874262,0.159207472874262,0.159207472874262,0.447013069510170,9.739275853914450E-002,0.210759978638061,0.485614974947777,0.669475304394287 
 11/03  24:00:00,1.13589446451646,6.99943971951313,0.000000000000000E+000,6.44761203044850,0.000000000000000E+000,0.177523938180775,0.177523938180775,0.177523938180775,0.310965613572292,6.775148420114399E-002,0.140551037640066,0.421990377232579,0.522761956647009 
 11/04  01:00:00,0.850748904801471,7.30134112072881,0.000000000000000E+000,6.89607915808577,0.000000000000000E+000,0.189871711320166,0.189871711320166,0.189871711320166,0.161961257068902,3.528723135476250E-002,9.746637271672108E-002,0.349050318651320,0.381220174702896 
 11/04  02:00:00,0.733964347395453,7.46285274619284,0.000000000000000E+000,7.13721677331454,0.000000000000000E+000,0.196511021951261,0.196511021951261,0.196511021951261,9.717675424134119E-002,2.117233881285750E-002,8.060881882127541E-002,0.321383399879117,0.303499819050300 
 11/04  03:00:00,0.679678869262635,7.54223649046723,0.000000000000000E+000,7.23854025329318,0.000000000000000E+000,0.199300790180343,0.199300790180343,0.199300790180343,6.478450282756079E-002,1.411489072062854E-002,6.670945631181069E-002,0.317657215532691,0.281816734404929 
