Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 10/01  01:00:00,0.855918002611874,0.000000000000000E+000,0.000000000000000E+000,0.210957546274135,7.170980921793481E-002,0.282667355492070,7.170980921793481E-002,7.813498925794139E-002,1.602624907098900E-002,8.089405516241929E-002,0.316181155273489,6.693918629496647E-002 
 10/01  02:00:00,0.745366397306569,0.000000000000000E+000,0.000000000000000E+000,0.171285732634921,5.822318966028502E-002,0.229508922295206,5.822318966028502E-002,5.208999062203221E-002,1.068416968448891E-002,6.698660335484008E-002,0.312515286806549,5.850641248345171E-002 
 10/01  03:00:00,0.690582321011382,0.000000000000000E+000,0.000000000000000E+000,0.138063784848585,4.709313224468149E-002,0.185156917093267,4.709313224468149E-002,5.208999062203221E-002,1.068416968448891E-002,5.849644581967755E-002,0.308116244646224,6.096354108569413E-002 
 10/01  04:00:00,0.691467314497084,0.000000000000000E+000,0.000000000000000E+000,0.119194021451363,4.051621184402410E-002,0.159710233295387,4.051621184402410E-002,5.208999062203221E-002,1.068416968448891E-002,7.021500402342022E-002,0.296477112263692,8.721579254806348E-002 
 10/01  05:00:00,0.858356626056146,0.000000000000000E+000,0.000000000000000E+000,0.116491990484117,3.964608286110174E-002,0.156138073345219,3.964608286110174E-002,5.643082483631486E-002,1.157451715819632E-002,8.441327210734366E-002,0.330844629141244,0.203880297407827 
 10/01  06:00:00,1.31390223234000,0.000000000000000E+000,0.000000000000000E+000,0.156248833505838,5.286236879784898E-002,0.209111202303688,5.286236879784898E-002,0.117202483886912,2.403938724584441E-002,0.144665999088276,0.382258434390064,0.421549713365218 
 10/01  07:00:00,1.69984708446199,0.000000000000000E+000,0.000000000000000E+000,0.186686445604233,6.268981264512999E-002,0.249376258249363,6.268981264512999E-002,0.238745815287679,4.896911105390750E-002,0.232810738293084,0.406178226136840,0.478691899381119 
 10/01  08:00:00,1.62284266669250,0.000000000000000E+000,0.000000000000000E+000,0.180485750584494,5.968007733135423E-002,0.240165827915848,5.968007733135423E-002,0.212700796702411,4.362702348379086E-002,0.305419771788383,0.343400228640510,0.462454006101556 
 10/01  09:00:00,1.48851988691834,0.000000000000000E+000,0.000000000000000E+000,0.199092374255878,6.472285744288953E-002,0.263815231698768,6.472285744288953E-002,0.104180007843210,2.136833664110564E-002,0.379392669043303,0.292261363526712,0.412427266105241 
 10/01  10:00:00,1.47967647582565,0.000000000000000E+000,0.000000000000000E+000,0.236231498109711,7.539824286116546E-002,0.311629740970877,7.539824286116546E-002,8.247583677179662E-002,1.691659927256859E-002,0.400036430298660,0.299134866902222,0.354407989549526 
 10/01  11:00:00,1.51317971060809,0.000000000000000E+000,0.000000000000000E+000,0.287406779256973,9.080005883431562E-002,0.378206838091290,9.080005883431562E-002,8.247583677179662E-002,1.691659927256859E-002,0.417737799937434,0.299226513613897,0.303541110861100 
 10/01  12:00:00,1.51424578496039,0.000000000000000E+000,0.000000000000000E+000,0.332084326469179,0.104953077376348,0.437037403845527,0.104953077376348,8.247583677179662E-002,1.691659927256859E-002,0.403916966332617,0.294185944471856,0.264638022206021 
 10/01  13:00:00,1.46517572973633,0.000000000000000E+000,0.000000000000000E+000,0.332315195294335,0.106185164611190,0.438500359905524,0.106185164611190,8.247583677179662E-002,1.691659927256859E-002,0.365867773415168,0.304358729467611,0.241981418843662 
 10/01  14:00:00,1.41062056910500,0.000000000000000E+000,0.000000000000000E+000,0.316019322481247,0.102873634590240,0.418892957071486,0.102873634590240,8.247583677179662E-002,1.691659927256859E-002,0.336164521264791,0.321496664550551,0.219598978113807 
 10/01  15:00:00,1.45604738256601,0.000000000000000E+000,0.000000000000000E+000,0.323617033484539,0.106181950566445,0.429798984050984,0.106181950566445,8.681668428565187E-002,1.780694947414818E-002,0.344183027252082,0.339367773326879,0.222998952116266 
 10/01  16:00:00,1.63894355992064,0.000000000000000E+000,0.000000000000000E+000,0.335879925280767,0.109291269435781,0.445171194716549,0.109291269435781,0.108520788859202,2.225868684268523E-002,0.393610230492980,0.401412597129821,0.252895049819407 
 10/01  17:00:00,1.97774107002086,0.000000000000000E+000,0.000000000000000E+000,0.348681229863439,0.113443824793376,0.462125054656815,0.113443824793376,0.177974149587296,3.650424914987595E-002,0.483984265787358,0.487652152814560,0.314426185964956 
 10/01  18:00:00,2.30443798953604,0.000000000000000E+000,0.000000000000000E+000,0.395304546005300,0.128623217692773,0.523927763698076,0.128623217692773,0.325562433075469,6.677606052805568E-002,0.436869555600276,0.529443053337665,0.376784087236495 
 10/01  19:00:00,2.47022582326861,0.000000000000000E+000,0.000000000000000E+000,0.411601580159845,0.133932325245698,0.545533905405542,0.133932325245698,0.512218211192611,0.105060996441730,0.354604650088013,0.546489341708932,0.391243706371781 
 10/01  20:00:00,2.47961615119259,0.000000000000000E+000,0.000000000000000E+000,0.411890706424988,0.134011837510509,0.545902543935497,0.134011837510509,0.564308248363149,0.115745171581963,0.315968290580894,0.565276917601994,0.357339967069098 
 10/01  21:00:00,2.26610648310234,0.000000000000000E+000,0.000000000000000E+000,0.389900709525557,0.126853931508403,0.516754641033960,0.126853931508403,0.473150783061504,9.704788554559633E-002,0.299252005830474,0.552079791121013,0.312746364449794 
 10/01  22:00:00,1.88375602234475,0.000000000000000E+000,0.000000000000000E+000,0.358502564823006,0.115458632417428,0.473961197240435,0.115458632417428,0.355948299174592,7.300849829975191E-002,0.239380132357161,0.477754307953827,0.248628575258989 
 10/01  23:00:00,1.47157373660223,0.000000000000000E+000,0.000000000000000E+000,0.309383951269699,9.963282905210059E-002,0.409016780321799,9.963282905210059E-002,0.247427443817527,5.074981145706668E-002,0.156389558580908,0.415159603880842,0.177755526484084 
