Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 09/24  03:00:00,0.535297682837065,2.90931051403122,0.000000000000000E+000,2.61516703512175,0.000000000000000E+000,8.904021509940009E-002,8.904021509940009E-002,8.904021509940009E-002,6.382473086728384E-002,1.390578086421579E-002,6.556055715455404E-002,0.285854385162011,0.274454482387751 
 09/24  04:00:00,0.552955995494548,3.48566039157328,0.000000000000000E+000,3.13830069035438,0.000000000000000E+000,0.106850068442891,0.106850068442891,0.106850068442891,6.382473086728384E-002,1.390578086421579E-002,7.620720412933703E-002,0.275056197501220,0.328414459176154 
 09/24  05:00:00,0.616649636849520,4.10762413314873,0.000000000000000E+000,3.52044316101447,0.000000000000000E+000,0.119854424354452,0.119854424354452,0.119854424354452,6.838363722948601E-002,1.489905222685725E-002,8.945989946368259E-002,0.306940609885441,0.566039604661499 
 09/24  06:00:00,0.791070494379342,4.49122683803104,0.000000000000000E+000,3.45508473926900,0.000000000000000E+000,0.117627398582204,0.117627398582204,0.117627398582204,0.127649461734568,2.781156537098450E-002,0.146230364189749,0.354639690812237,1.01171532764602 
 09/24  07:00:00,1.04185431058123,4.35317029225467,0.000000000000000E+000,3.19049539292524,0.000000000000000E+000,0.108574588366417,0.108574588366417,0.108574588366417,0.241622204382529,5.264332211787399E-002,0.230070928193149,0.376831241831655,1.13671962491413 
 09/24  08:00:00,0.982709534772463,4.09356888686727,0.000000000000000E+000,2.96167190527149,0.000000000000000E+000,0.100793735263108,0.100793735263108,0.100793735263108,0.200592047122709,4.370389624558903E-002,0.301918793908311,0.318589048543143,1.10995329629927 
 09/24  09:00:00,0.865569242918321,3.37483332915000,0.000000000000000E+000,2.34359853738314,0.000000000000000E+000,7.971942172423858E-002,7.971942172423858E-002,7.971942172423858E-002,0.100296023561355,2.185194812279451E-002,0.375444792904911,0.271145042915422,1.01255894111019 
 09/24  10:00:00,0.845127704751515,2.64384178060179,0.000000000000000E+000,1.72956352668627,0.000000000000000E+000,5.881009584815515E-002,5.881009584815515E-002,5.881009584815515E-002,7.750145831318095E-002,1.688559130958724E-002,0.397296620198725,0.277521925392267,0.895163178172845 
 09/24  11:00:00,0.823179340944021,1.42655166957317,0.000000000000000E+000,0.618214763878665,0.000000000000000E+000,2.096916147769506E-002,2.096916147769506E-002,2.096916147769506E-002,7.750145831318095E-002,1.688559130958724E-002,0.413104165661999,0.277606950491958,0.789215973617349 
 09/24  12:00:00,0.782248696308279,0.727636572329998,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,7.750145831318095E-002,1.688559130958724E-002,0.397819062986971,0.272930570008939,0.708837738649243 
